School_ID,School,METRIC_NAME,METRIC_VALUE
101912,Oakwood University,Academic Support Expenses Per FTE (FASB),2999
101912,Oakwood University,Endowment Asset Value,13631785
101912,Oakwood University,12-Month FTE Enrollment,1428
101912,Oakwood University,Core Expenses (FASB),56843789
101912,Oakwood University,Institutional Support Expenses Per FTE (FASB),8698
101912,Oakwood University,Instruction Expenses Per FTE (FASB),8660
101912,Oakwood University,Student Services Expenses Per FTE (FASB),4686
102049,Samford University,Academic Support Expenses Per FTE (FASB),2081
102049,Samford University,Endowment Asset Value,443471031
102049,Samford University,Institutional Support Expenses Per FTE (FASB),3639
102049,Samford University,Core Expenses (FASB),165865930
102049,Samford University,Instruction Expenses Per FTE (FASB),16196
102049,Samford University,Student Services Expenses Per FTE (FASB),5394
102049,Samford University,12-Month FTE Enrollment,5940
102058,Selma University,Endowment Asset Value,157622
102058,Selma University,Core Expenses (FASB),748842
102058,Selma University,12-Month FTE Enrollment,24
102058,Selma University,Instruction Expenses Per FTE (FASB),8074
102058,Selma University,Institutional Support Expenses Per FTE (FASB),13128
102058,Selma University,Academic Support Expenses Per FTE (FASB),7500
102058,Selma University,Student Services Expenses Per FTE (FASB),917
102234,Spring Hill College,Core Expenses (FASB),31704839
102234,Spring Hill College,12-Month FTE Enrollment,1073
102234,Spring Hill College,Endowment Asset Value,10946191
102234,Spring Hill College,Academic Support Expenses Per FTE (FASB),3235
102234,Spring Hill College,Institutional Support Expenses Per FTE (FASB),8274
102234,Spring Hill College,Instruction Expenses Per FTE (FASB),8919
102234,Spring Hill College,Student Services Expenses Per FTE (FASB),7612
102270,Stillman College,Endowment Asset Value,20713966
102270,Stillman College,Core Expenses (FASB),20460263
102270,Stillman College,12-Month FTE Enrollment,754
102270,Stillman College,Academic Support Expenses Per FTE (FASB),1342
102270,Stillman College,Instruction Expenses Per FTE (FASB),5518
102270,Stillman College,Institutional Support Expenses Per FTE (FASB),14996
102270,Stillman College,Student Services Expenses Per FTE (FASB),5279
102298,Talladega College,Endowment Asset Value,76169770
102298,Talladega College,12-Month FTE Enrollment,949
102298,Talladega College,Core Expenses (FASB),18210204
102298,Talladega College,Institutional Support Expenses Per FTE (FASB),9833
102298,Talladega College,Academic Support Expenses Per FTE (FASB),791
102298,Talladega College,Student Services Expenses Per FTE (FASB),6020
102298,Talladega College,Instruction Expenses Per FTE (FASB),2342
102377,Tuskegee University,Endowment Asset Value,150040938
102377,Tuskegee University,Academic Support Expenses Per FTE (FASB),2458
102377,Tuskegee University,Institutional Support Expenses Per FTE (FASB),10666
102377,Tuskegee University,Core Expenses (FASB),136546654
102377,Tuskegee University,12-Month FTE Enrollment,2755
102377,Tuskegee University,Instruction Expenses Per FTE (FASB),15926
102377,Tuskegee University,Student Services Expenses Per FTE (FASB),4745
102395,United States Sports Academy,Endowment Asset Value,1000000
102395,United States Sports Academy,Core Expenses (FASB),4953376
102395,United States Sports Academy,Instruction Expenses Per FTE (FASB),9402
102395,United States Sports Academy,12-Month FTE Enrollment,132
102395,United States Sports Academy,Academic Support Expenses Per FTE (FASB),966
102395,United States Sports Academy,Student Services Expenses Per FTE (FASB),4570
102395,United States Sports Academy,Institutional Support Expenses Per FTE (FASB),21205
102580,Alaska Bible College,Endowment Asset Value,1748628
102580,Alaska Bible College,Core Expenses (FASB),624817
102580,Alaska Bible College,Instruction Expenses Per FTE (FASB),8702
102580,Alaska Bible College,12-Month FTE Enrollment,24
102580,Alaska Bible College,Academic Support Expenses Per FTE (FASB),1206
102580,Alaska Bible College,Institutional Support Expenses Per FTE (FASB),14628
102580,Alaska Bible College,Student Services Expenses Per FTE (FASB),1498
102669,Alaska Pacific University,Endowment Asset Value,96508897
102669,Alaska Pacific University,Core Expenses (FASB),18568631
102669,Alaska Pacific University,Institutional Support Expenses Per FTE (FASB),8528
102669,Alaska Pacific University,12-Month FTE Enrollment,477
102669,Alaska Pacific University,Student Services Expenses Per FTE (FASB),7461
102669,Alaska Pacific University,Academic Support Expenses Per FTE (FASB),764
102669,Alaska Pacific University,Instruction Expenses Per FTE (FASB),14628
104586,Embry-Riddle Aeronautical University-Prescott,Endowment Asset Value,79952000
104586,Embry-Riddle Aeronautical University-Prescott,Institutional Support Expenses Per FTE (FASB),6881
104586,Embry-Riddle Aeronautical University-Prescott,Academic Support Expenses Per FTE (FASB),1800
104586,Embry-Riddle Aeronautical University-Prescott,Core Expenses (FASB),96028000
104586,Embry-Riddle Aeronautical University-Prescott,Instruction Expenses Per FTE (FASB),14495
104586,Embry-Riddle Aeronautical University-Prescott,12-Month FTE Enrollment,3221
104586,Embry-Riddle Aeronautical University-Prescott,Student Services Expenses Per FTE (FASB),4585
105589,Prescott College,Endowment Asset Value,2499569
105589,Prescott College,12-Month FTE Enrollment,920
105589,Prescott College,Core Expenses (FASB),16414112
105589,Prescott College,Academic Support Expenses Per FTE (FASB),2129
105589,Prescott College,Institutional Support Expenses Per FTE (FASB),4363
105589,Prescott College,Instruction Expenses Per FTE (FASB),6073
105589,Prescott College,Student Services Expenses Per FTE (FASB),2665
105899,Arizona Christian University,Core Expenses (FASB),25684546
105899,Arizona Christian University,12-Month FTE Enrollment,992
105899,Arizona Christian University,Endowment Asset Value,527700
105899,Arizona Christian University,Academic Support Expenses Per FTE (FASB),3232
105899,Arizona Christian University,Institutional Support Expenses Per FTE (FASB),5616
105899,Arizona Christian University,Instruction Expenses Per FTE (FASB),4139
105899,Arizona Christian University,Student Services Expenses Per FTE (FASB),12905
106342,Lyon College,Endowment Asset Value,97187764
106342,Lyon College,Core Expenses (FASB),26236404
106342,Lyon College,12-Month FTE Enrollment,429
106342,Lyon College,Academic Support Expenses Per FTE (FASB),5102
106342,Lyon College,Institutional Support Expenses Per FTE (FASB),18481
106342,Lyon College,Instruction Expenses Per FTE (FASB),20419
106342,Lyon College,Student Services Expenses Per FTE (FASB),17155
106546,Baptist Health College Little Rock,Endowment Asset Value,9128638
106546,Baptist Health College Little Rock,Core Expenses (FASB),10927438
106546,Baptist Health College Little Rock,12-Month FTE Enrollment,537
106546,Baptist Health College Little Rock,Academic Support Expenses Per FTE (FASB),1004
106546,Baptist Health College Little Rock,Institutional Support Expenses Per FTE (FASB),1761
106546,Baptist Health College Little Rock,Instruction Expenses Per FTE (FASB),16736
106546,Baptist Health College Little Rock,Student Services Expenses Per FTE (FASB),848
106713,Central Baptist College,Endowment Asset Value,3895248
106713,Central Baptist College,Institutional Support Expenses Per FTE (FASB),6453
106713,Central Baptist College,Core Expenses (FASB),7535427
106713,Central Baptist College,12-Month FTE Enrollment,499
106713,Central Baptist College,Academic Support Expenses Per FTE (FASB),1792
106713,Central Baptist College,Instruction Expenses Per FTE (FASB),4392
106713,Central Baptist College,Student Services Expenses Per FTE (FASB),2464
106810,Crowley's Ridge College,Academic Support Expenses Per FTE (FASB),2682
106810,Crowley's Ridge College,Endowment Asset Value,1581037
106810,Crowley's Ridge College,Institutional Support Expenses Per FTE (FASB),6144
106810,Crowley's Ridge College,Core Expenses (FASB),3797774
106810,Crowley's Ridge College,12-Month FTE Enrollment,197
106810,Crowley's Ridge College,Student Services Expenses Per FTE (FASB),7107
106810,Crowley's Ridge College,Instruction Expenses Per FTE (FASB),3345
107044,Harding University,Instruction Expenses Per FTE (FASB),11289
107044,Harding University,Endowment Asset Value,212023311
107044,Harding University,Academic Support Expenses Per FTE (FASB),3451
107044,Harding University,Core Expenses (FASB),100401177
107044,Harding University,Institutional Support Expenses Per FTE (FASB),3080
107044,Harding University,12-Month FTE Enrollment,4352
107044,Harding University,Student Services Expenses Per FTE (FASB),4674
107080,Hendrix College,12-Month FTE Enrollment,1142
107080,Hendrix College,Core Expenses (FASB),37705235
107080,Hendrix College,Endowment Asset Value,203248997
107080,Hendrix College,Institutional Support Expenses Per FTE (FASB),6152
107080,Hendrix College,Instruction Expenses Per FTE (FASB),12366
107080,Hendrix College,Academic Support Expenses Per FTE (FASB),3854
107080,Hendrix College,Student Services Expenses Per FTE (FASB),9740
107141,John Brown University,Academic Support Expenses Per FTE (FASB),2652
107141,John Brown University,Core Expenses (FASB),44144356
107141,John Brown University,Endowment Asset Value,160259289
107141,John Brown University,Instruction Expenses Per FTE (FASB),10223
107141,John Brown University,Institutional Support Expenses Per FTE (FASB),5238
107141,John Brown University,12-Month FTE Enrollment,1848
107141,John Brown University,Student Services Expenses Per FTE (FASB),4842
107512,Ouachita Baptist University,Core Expenses (FASB),40172551
107512,Ouachita Baptist University,Endowment Asset Value,129521253
107512,Ouachita Baptist University,Instruction Expenses Per FTE (FASB),9962
107512,Ouachita Baptist University,12-Month FTE Enrollment,1712
107512,Ouachita Baptist University,Institutional Support Expenses Per FTE (FASB),4592
107512,Ouachita Baptist University,Academic Support Expenses Per FTE (FASB),1031
107512,Ouachita Baptist University,Student Services Expenses Per FTE (FASB),6860
107558,University of the Ozarks,Core Expenses (FASB),28824199
107558,University of the Ozarks,Academic Support Expenses Per FTE (FASB),2998
107558,University of the Ozarks,Endowment Asset Value,134710303
107558,University of the Ozarks,12-Month FTE Enrollment,806
107558,University of the Ozarks,Instruction Expenses Per FTE (FASB),12285
107558,University of the Ozarks,Student Services Expenses Per FTE (FASB),6125
107558,University of the Ozarks,Institutional Support Expenses Per FTE (FASB),14354
107600,Philander Smith University,Endowment Asset Value,16416186
107600,Philander Smith University,Core Expenses (FASB),22232560
107600,Philander Smith University,Academic Support Expenses Per FTE (FASB),3058
107600,Philander Smith University,12-Month FTE Enrollment,877
107600,Philander Smith University,Institutional Support Expenses Per FTE (FASB),9870
107600,Philander Smith University,Student Services Expenses Per FTE (FASB),6640
107600,Philander Smith University,Instruction Expenses Per FTE (FASB),5274
107877,Williams Baptist University,Institutional Support Expenses Per FTE (FASB),6779
107877,Williams Baptist University,Endowment Asset Value,13119341
107877,Williams Baptist University,Core Expenses (FASB),10159446
107877,Williams Baptist University,12-Month FTE Enrollment,584
107877,Williams Baptist University,Academic Support Expenses Per FTE (FASB),1251
107877,Williams Baptist University,Instruction Expenses Per FTE (FASB),3828
107877,Williams Baptist University,Student Services Expenses Per FTE (FASB),5191
108852,American Academy of Dramatic Arts-Los Angeles,Endowment Asset Value,1141829
108852,American Academy of Dramatic Arts-Los Angeles,Core Expenses (FASB),8444677
108852,American Academy of Dramatic Arts-Los Angeles,12-Month FTE Enrollment,245
108852,American Academy of Dramatic Arts-Los Angeles,Instruction Expenses Per FTE (FASB),6498
108852,American Academy of Dramatic Arts-Los Angeles,Academic Support Expenses Per FTE (FASB),5714
108852,American Academy of Dramatic Arts-Los Angeles,Institutional Support Expenses Per FTE (FASB),15849
108852,American Academy of Dramatic Arts-Los Angeles,Student Services Expenses Per FTE (FASB),3128
108861,Berkeley School of Theology,Endowment Asset Value,8700794
108861,Berkeley School of Theology,Core Expenses (FASB),3328375
108861,Berkeley School of Theology,Student Services Expenses Per FTE (FASB),7961
108861,Berkeley School of Theology,12-Month FTE Enrollment,37
108861,Berkeley School of Theology,Academic Support Expenses Per FTE (FASB),10048
108861,Berkeley School of Theology,Instruction Expenses Per FTE (FASB),28220
108861,Berkeley School of Theology,Institutional Support Expenses Per FTE (FASB),43728
108870,American Film Institute Conservatory,Core Expenses (FASB),35823743
108870,American Film Institute Conservatory,Endowment Asset Value,23368287
108870,American Film Institute Conservatory,12-Month FTE Enrollment,512
108870,American Film Institute Conservatory,Institutional Support Expenses Per FTE (FASB),10492
108870,American Film Institute Conservatory,Instruction Expenses Per FTE (FASB),5704
108870,American Film Institute Conservatory,Student Services Expenses Per FTE (FASB),2183
108870,American Film Institute Conservatory,Academic Support Expenses Per FTE (FASB),15035
109651,Art Center College of Design,Endowment Asset Value,137353000
109651,Art Center College of Design,Institutional Support Expenses Per FTE (FASB),6661
109651,Art Center College of Design,Core Expenses (FASB),120160000
109651,Art Center College of Design,12-Month FTE Enrollment,2680
109651,Art Center College of Design,Academic Support Expenses Per FTE (FASB),8849
109651,Art Center College of Design,Student Services Expenses Per FTE (FASB),3205
109651,Art Center College of Design,Instruction Expenses Per FTE (FASB),26122
109785,Azusa Pacific University,Endowment Asset Value,90358715
109785,Azusa Pacific University,Instruction Expenses Per FTE (FASB),11098
109785,Azusa Pacific University,Academic Support Expenses Per FTE (FASB),2537
109785,Azusa Pacific University,Institutional Support Expenses Per FTE (FASB),5821
109785,Azusa Pacific University,Core Expenses (FASB),179159615
109785,Azusa Pacific University,Student Services Expenses Per FTE (FASB),6170
109785,Azusa Pacific University,12-Month FTE Enrollment,6780
110097,Biola University,Endowment Asset Value,146197897
110097,Biola University,Academic Support Expenses Per FTE (FASB),3237
110097,Biola University,Institutional Support Expenses Per FTE (FASB),8213
110097,Biola University,Instruction Expenses Per FTE (FASB),12843
110097,Biola University,Core Expenses (FASB),140421000
110097,Biola University,Student Services Expenses Per FTE (FASB),5904
110097,Biola University,12-Month FTE Enrollment,4449
110316,California Institute of Integral Studies,Core Expenses (FASB),42745617
110316,California Institute of Integral Studies,Endowment Asset Value,1599818
110316,California Institute of Integral Studies,12-Month FTE Enrollment,1388
110316,California Institute of Integral Studies,Academic Support Expenses Per FTE (FASB),2189
110316,California Institute of Integral Studies,Instruction Expenses Per FTE (FASB),12002
110316,California Institute of Integral Studies,Institutional Support Expenses Per FTE (FASB),13157
110316,California Institute of Integral Studies,Student Services Expenses Per FTE (FASB),2470
110361,California Baptist University,Endowment Asset Value,133075937
110361,California Baptist University,Instruction Expenses Per FTE (FASB),9514
110361,California Baptist University,Institutional Support Expenses Per FTE (FASB),5189
110361,California Baptist University,Academic Support Expenses Per FTE (FASB),841
110361,California Baptist University,Student Services Expenses Per FTE (FASB),5732
110361,California Baptist University,Core Expenses (FASB),240960434
110361,California Baptist University,12-Month FTE Enrollment,11253
110370,California College of the Arts,Endowment Asset Value,39736000
110370,California College of the Arts,12-Month FTE Enrollment,1479
110370,California College of the Arts,Core Expenses (FASB),68655000
110370,California College of the Arts,Academic Support Expenses Per FTE (FASB),5460
110370,California College of the Arts,Institutional Support Expenses Per FTE (FASB),12832
110370,California College of the Arts,Student Services Expenses Per FTE (FASB),5187
110370,California College of the Arts,Instruction Expenses Per FTE (FASB),22934
110413,California Lutheran University,Endowment Asset Value,133747441
110413,California Lutheran University,Instruction Expenses Per FTE (FASB),11410
110413,California Lutheran University,Academic Support Expenses Per FTE (FASB),2025
110413,California Lutheran University,Institutional Support Expenses Per FTE (FASB),5418
110413,California Lutheran University,Core Expenses (FASB),110831491
110413,California Lutheran University,Student Services Expenses Per FTE (FASB),6676
110413,California Lutheran University,12-Month FTE Enrollment,3591
111081,California Institute of the Arts,Endowment Asset Value,221602626
111081,California Institute of the Arts,12-Month FTE Enrollment,1509
111081,California Institute of the Arts,Institutional Support Expenses Per FTE (FASB),9065
111081,California Institute of the Arts,Core Expenses (FASB),83333501
111081,California Institute of the Arts,Student Services Expenses Per FTE (FASB),5256
111081,California Institute of the Arts,Academic Support Expenses Per FTE (FASB),7663
111081,California Institute of the Arts,Instruction Expenses Per FTE (FASB),31777
111391,California Western School of Law,Core Expenses (FASB),27789999
111391,California Western School of Law,Endowment Asset Value,31874001
111391,California Western School of Law,12-Month FTE Enrollment,646
111391,California Western School of Law,Institutional Support Expenses Per FTE (FASB),9286
111391,California Western School of Law,Instruction Expenses Per FTE (FASB),13654
111391,California Western School of Law,Student Services Expenses Per FTE (FASB),7053
111391,California Western School of Law,Academic Support Expenses Per FTE (FASB),13026
111948,Chapman University,Institutional Support Expenses Per FTE (FASB),7167
111948,Chapman University,Endowment Asset Value,668428000
111948,Chapman University,Academic Support Expenses Per FTE (FASB),5631
111948,Chapman University,Instruction Expenses Per FTE (FASB),20788
111948,Chapman University,Student Services Expenses Per FTE (FASB),4354
111948,Chapman University,Core Expenses (FASB),402550000
111948,Chapman University,12-Month FTE Enrollment,9838
111966,Charles R Drew University of Medicine and Science,Endowment Asset Value,107439500
111966,Charles R Drew University of Medicine and Science,12-Month FTE Enrollment,1232
111966,Charles R Drew University of Medicine and Science,Core Expenses (FASB),91315200
111966,Charles R Drew University of Medicine and Science,Instruction Expenses Per FTE (FASB),20559
111966,Charles R Drew University of Medicine and Science,Institutional Support Expenses Per FTE (FASB),23485
111966,Charles R Drew University of Medicine and Science,Student Services Expenses Per FTE (FASB),2003
111966,Charles R Drew University of Medicine and Science,Academic Support Expenses Per FTE (FASB),14867
112075,Concordia University-Irvine,Endowment Asset Value,56461674
112075,Concordia University-Irvine,Institutional Support Expenses Per FTE (FASB),6607
112075,Concordia University-Irvine,Academic Support Expenses Per FTE (FASB),2260
112075,Concordia University-Irvine,Core Expenses (FASB),78522874
112075,Concordia University-Irvine,Instruction Expenses Per FTE (FASB),8839
112075,Concordia University-Irvine,12-Month FTE Enrollment,3410
112075,Concordia University-Irvine,Student Services Expenses Per FTE (FASB),5322
112084,San Diego Christian College,Endowment Asset Value,693502
112084,San Diego Christian College,Institutional Support Expenses Per FTE (FASB),6529
112084,San Diego Christian College,Core Expenses (FASB),6444112
112084,San Diego Christian College,12-Month FTE Enrollment,294
112084,San Diego Christian College,Student Services Expenses Per FTE (FASB),9318
112084,San Diego Christian College,Academic Support Expenses Per FTE (FASB),777
112084,San Diego Christian College,Instruction Expenses Per FTE (FASB),5296
112127,Church Divinity School of the Pacific,Endowment Asset Value,25892532
112127,Church Divinity School of the Pacific,Core Expenses (FASB),5268782
112127,Church Divinity School of the Pacific,12-Month FTE Enrollment,50
112127,Church Divinity School of the Pacific,Student Services Expenses Per FTE (FASB),14017
112127,Church Divinity School of the Pacific,Instruction Expenses Per FTE (FASB),25310
112127,Church Divinity School of the Pacific,Academic Support Expenses Per FTE (FASB),12976
112127,Church Divinity School of the Pacific,Institutional Support Expenses Per FTE (FASB),42537
112251,Claremont Graduate University,12-Month FTE Enrollment,970
112251,Claremont Graduate University,Endowment Asset Value,199994170
112251,Claremont Graduate University,Core Expenses (FASB),63774186
112251,Claremont Graduate University,Institutional Support Expenses Per FTE (FASB),14133
112251,Claremont Graduate University,Student Services Expenses Per FTE (FASB),6141
112251,Claremont Graduate University,Academic Support Expenses Per FTE (FASB),8209
112251,Claremont Graduate University,Instruction Expenses Per FTE (FASB),28043
112525,Western University of Health Sciences,Endowment Asset Value,62536571
112525,Western University of Health Sciences,Institutional Support Expenses Per FTE (FASB),7963
112525,Western University of Health Sciences,Academic Support Expenses Per FTE (FASB),5895
112525,Western University of Health Sciences,Core Expenses (FASB),229242851
112525,Western University of Health Sciences,12-Month FTE Enrollment,3864
112525,Western University of Health Sciences,Student Services Expenses Per FTE (FASB),2706
112525,Western University of Health Sciences,Instruction Expenses Per FTE (FASB),36656
113698,Dominican University of California,Institutional Support Expenses Per FTE (FASB),7178
113698,Dominican University of California,Endowment Asset Value,30807092
113698,Dominican University of California,Core Expenses (FASB),60071016
113698,Dominican University of California,Academic Support Expenses Per FTE (FASB),2114
113698,Dominican University of California,Instruction Expenses Per FTE (FASB),13027
113698,Dominican University of California,12-Month FTE Enrollment,2176
113698,Dominican University of California,Student Services Expenses Per FTE (FASB),5287
113704,Dominican School of Philosophy & Theology,Endowment Asset Value,8066390
113704,Dominican School of Philosophy & Theology,Core Expenses (FASB),3017220
113704,Dominican School of Philosophy & Theology,12-Month FTE Enrollment,52
113704,Dominican School of Philosophy & Theology,Academic Support Expenses Per FTE (FASB),6735
113704,Dominican School of Philosophy & Theology,Student Services Expenses Per FTE (FASB),5318
113704,Dominican School of Philosophy & Theology,Instruction Expenses Per FTE (FASB),22962
113704,Dominican School of Philosophy & Theology,Institutional Support Expenses Per FTE (FASB),23009
114549,Fielding Graduate University,Academic Support Expenses Per FTE (FASB),2789
114549,Fielding Graduate University,Core Expenses (FASB),23016655
114549,Fielding Graduate University,Endowment Asset Value,9377720
114549,Fielding Graduate University,12-Month FTE Enrollment,785
114549,Fielding Graduate University,Instruction Expenses Per FTE (FASB),12217
114549,Fielding Graduate University,Institutional Support Expenses Per FTE (FASB),10515
114549,Fielding Graduate University,Student Services Expenses Per FTE (FASB),2213
114734,Franciscan School of Theology,Endowment Asset Value,5291942
114734,Franciscan School of Theology,Core Expenses (FASB),3406260
114734,Franciscan School of Theology,12-Month FTE Enrollment,50
114734,Franciscan School of Theology,Institutional Support Expenses Per FTE (FASB),18745
114734,Franciscan School of Theology,Academic Support Expenses Per FTE (FASB),8822
114734,Franciscan School of Theology,Student Services Expenses Per FTE (FASB),14329
114734,Franciscan School of Theology,Instruction Expenses Per FTE (FASB),26230
114813,Fresno Pacific University,Endowment Asset Value,19748127
114813,Fresno Pacific University,Institutional Support Expenses Per FTE (FASB),6298
114813,Fresno Pacific University,Core Expenses (FASB),60970496
114813,Fresno Pacific University,Academic Support Expenses Per FTE (FASB),3729
114813,Fresno Pacific University,Instruction Expenses Per FTE (FASB),7304
114813,Fresno Pacific University,12-Month FTE Enrollment,2666
114813,Fresno Pacific University,Student Services Expenses Per FTE (FASB),4729
114840,Fuller Theological Seminary,Endowment Asset Value,134000000
114840,Fuller Theological Seminary,Instruction Expenses Per FTE (FASB),10382
114840,Fuller Theological Seminary,Core Expenses (FASB),52685000
114840,Fuller Theological Seminary,Institutional Support Expenses Per FTE (FASB),7979
114840,Fuller Theological Seminary,12-Month FTE Enrollment,1509
114840,Fuller Theological Seminary,Academic Support Expenses Per FTE (FASB),5818
114840,Fuller Theological Seminary,Student Services Expenses Per FTE (FASB),4210
115083,Golden Gate University,Academic Support Expenses Per FTE (FASB),2796
115083,Golden Gate University,Endowment Asset Value,46204562
115083,Golden Gate University,Core Expenses (FASB),55000281
115083,Golden Gate University,Institutional Support Expenses Per FTE (FASB),2495
115083,Golden Gate University,Instruction Expenses Per FTE (FASB),3956
115083,Golden Gate University,12-Month FTE Enrollment,4374
115083,Golden Gate University,Student Services Expenses Per FTE (FASB),2874
115409,Harvey Mudd College,12-Month FTE Enrollment,968
115409,Harvey Mudd College,Core Expenses (FASB),71153817
115409,Harvey Mudd College,Endowment Asset Value,412997574
115409,Harvey Mudd College,Student Services Expenses Per FTE (FASB),9908
115409,Harvey Mudd College,Institutional Support Expenses Per FTE (FASB),15047
115409,Harvey Mudd College,Academic Support Expenses Per FTE (FASB),7958
115409,Harvey Mudd College,Instruction Expenses Per FTE (FASB),35271
115773,Humphreys University-Stockton and Modesto Campuses,Endowment Asset Value,407087
115773,Humphreys University-Stockton and Modesto Campuses,Institutional Support Expenses Per FTE (FASB),6672
115773,Humphreys University-Stockton and Modesto Campuses,Core Expenses (FASB),7769915
115773,Humphreys University-Stockton and Modesto Campuses,Academic Support Expenses Per FTE (FASB),2005
115773,Humphreys University-Stockton and Modesto Campuses,12-Month FTE Enrollment,351
115773,Humphreys University-Stockton and Modesto Campuses,Instruction Expenses Per FTE (FASB),8377
115773,Humphreys University-Stockton and Modesto Campuses,Student Services Expenses Per FTE (FASB),2598
117104,Life Pacific University,Endowment Asset Value,4722223
117104,Life Pacific University,Student Services Expenses Per FTE (FASB),8163
117104,Life Pacific University,Core Expenses (FASB),11905157
117104,Life Pacific University,Institutional Support Expenses Per FTE (FASB),8462
117104,Life Pacific University,12-Month FTE Enrollment,418
117104,Life Pacific University,Academic Support Expenses Per FTE (FASB),4699
117104,Life Pacific University,Instruction Expenses Per FTE (FASB),7158
117140,University of La Verne,Academic Support Expenses Per FTE (FASB),2831
117140,University of La Verne,Endowment Asset Value,131197961
117140,University of La Verne,Institutional Support Expenses Per FTE (FASB),5863
117140,University of La Verne,Instruction Expenses Per FTE (FASB),8186
117140,University of La Verne,Core Expenses (FASB),138952618
117140,University of La Verne,Student Services Expenses Per FTE (FASB),2934
117140,University of La Verne,12-Month FTE Enrollment,7013
117168,Laguna College of Art and Design,Instruction Expenses Per FTE (FASB),10940
117168,Laguna College of Art and Design,Institutional Support Expenses Per FTE (FASB),7640
117168,Laguna College of Art and Design,Endowment Asset Value,4039383
117168,Laguna College of Art and Design,Core Expenses (FASB),18849255
117168,Laguna College of Art and Design,12-Month FTE Enrollment,689
117168,Laguna College of Art and Design,Academic Support Expenses Per FTE (FASB),5680
117168,Laguna College of Art and Design,Student Services Expenses Per FTE (FASB),3096
117283,Latin American Bible Institute,Instruction Expenses Per FTE (FASB),11219
117283,Latin American Bible Institute,Endowment Asset Value,49132
117283,Latin American Bible Institute,Core Expenses (FASB),1824842
117283,Latin American Bible Institute,12-Month FTE Enrollment,39
117283,Latin American Bible Institute,Institutional Support Expenses Per FTE (FASB),12937
117283,Latin American Bible Institute,Academic Support Expenses Per FTE (FASB),6364
117283,Latin American Bible Institute,Student Services Expenses Per FTE (FASB),2838
117575,Southern California Seminary,Endowment Asset Value,115851
117575,Southern California Seminary,Institutional Support Expenses Per FTE (FASB),6006
117575,Southern California Seminary,Core Expenses (FASB),2697026
117575,Southern California Seminary,12-Month FTE Enrollment,134
117575,Southern California Seminary,Instruction Expenses Per FTE (FASB),8250
